 it |         mu |                G(beta/2) per orbital |                 orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |    0.01091 |   -0.09389     -0.10128     -0.11676 |    0.94534      0.95559      0.97410 |           2.87503 | -39807.55751 | -39780.63078      0.00000      0.00000      6.73843
  1 |    0.01091 |   -0.09477     -0.10006     -0.11068 |    0.95744      0.96594      0.98062 |           2.90400 | -39774.93343 | -39780.63078      1.57441      7.77480      6.73843
  2 |   -0.01972 |   -0.09371     -0.09641     -0.10308 |    0.95653      0.96229      0.96834 |           2.88716 | -39775.33813 | -39780.63078      1.59049      7.67040      6.73843
  3 |   -0.05654 |   -0.09241     -0.09512     -0.10167 |    0.95112      0.95831      0.96368 |           2.87311 | -39775.70464 | -39780.63078      1.57130      7.57835      6.73843
  4 |   -0.08292 |   -0.09142     -0.09437     -0.10114 |    0.94524      0.95471      0.96137 |           2.86132 | -39775.93561 | -39780.63078      1.55785      7.51903      6.73843
  5 |   -0.10084 |   -0.09088     -0.09380     -0.10072 |    0.94486      0.95061      0.95798 |           2.85345 | -39776.11594 | -39780.63078      1.54625      7.47874      6.73843
  6 |   -0.11347 |   -0.09039     -0.09361     -0.10040 |    0.94300      0.95089      0.95840 |           2.85229 | -39776.19018 | -39780.63078      1.53841      7.46367      6.73843
  7 |   -0.12266 |   -0.09011     -0.09332     -0.10044 |    0.94084      0.94922      0.95572 |           2.84579 | -39776.31005 | -39780.63078      1.53813      7.43963      6.73843
  8 |   -0.12843 |   -0.08973     -0.09305     -0.10035 |    0.94006      0.94705      0.95428 |           2.84139 | -39776.35380 | -39780.63078      1.53308      7.42431      6.73843
  9 |   -0.13238 |   -0.08973     -0.09287     -0.10012 |    0.93992      0.94755      0.95600 |           2.84347 | -39776.38303 | -39780.63078      1.53373      7.42094      6.73843
 10 |   -0.13520 |   -0.08945     -0.09276     -0.09989 |    0.93938      0.94554      0.95489 |           2.83982 | -39776.43379 | -39780.63078      1.52901      7.40613      6.73843
 11 |   -0.13741 |   -0.08930     -0.09279     -0.09994 |    0.93916      0.94622      0.95292 |           2.83830 | -39776.43888 | -39780.63078      1.52734      7.40785      6.73843
 12 |   -0.13890 |   -0.08952     -0.09260     -0.09992 |    0.93996      0.94593      0.95357 |           2.83946 | -39776.45655 | -39780.63078      1.52658      7.40410      6.73843
 13 |   -0.13990 |   -0.08940     -0.09260     -0.09993 |    0.93942      0.94524      0.95406 |           2.83873 | -39776.46782 | -39780.63078      1.52925      7.39707      6.73843
 14 |   -0.14072 |   -0.08933     -0.09266     -0.09992 |    0.93847      0.94725      0.95350 |           2.83922 | -39776.47366 | -39780.63078      1.52468      7.39693      6.73843
 15 |   -0.14168 |   -0.08934     -0.09271     -0.10000 |    0.93777      0.94661      0.95262 |           2.83700 | -39776.48251 | -39780.63078      1.52675      7.39984      6.73843
