 it |         mu |                G(beta/2) per orbital |                 orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |    0.01091 |   -0.09348     -0.10133     -0.11714 |    0.94429      0.95520      0.97302 |           2.87252 | -39807.55751 | -39780.63078      0.00000      0.00000      6.72355
  1 |    0.01091 |   -0.09439     -0.10015     -0.11091 |    0.95736      0.96597      0.97938 |           2.90271 | -39774.93343 | -39780.63078      1.57441      7.75143      6.72355
  2 |   -0.01972 |   -0.09378     -0.09646     -0.10302 |    0.95403      0.96138      0.96810 |           2.88351 | -39775.33813 | -39780.63078      1.59049      7.63939      6.72355
  3 |   -0.05654 |   -0.09219     -0.09507     -0.10201 |    0.94951      0.95716      0.96293 |           2.86959 | -39775.70464 | -39780.63078      1.57130      7.56390      6.72355
  4 |   -0.08292 |   -0.09134     -0.09430     -0.10126 |    0.94632      0.95362      0.95989 |           2.85983 | -39775.93561 | -39780.63078      1.55785      7.51003      6.72355
  5 |   -0.10084 |   -0.09080     -0.09377     -0.10093 |    0.94251      0.95255      0.95839 |           2.85344 | -39776.11594 | -39780.63078      1.54625      7.47212      6.72355
  6 |   -0.11347 |   -0.09010     -0.09348     -0.10076 |    0.94234      0.95036      0.95710 |           2.84979 | -39776.19018 | -39780.63078      1.53841      7.44576      6.72355
  7 |   -0.12266 |   -0.08999     -0.09308     -0.10057 |    0.94045      0.94818      0.95370 |           2.84234 | -39776.31005 | -39780.63078      1.53813      7.41882      6.72355
  8 |   -0.12843 |   -0.08970     -0.09291     -0.10027 |    0.93921      0.94767      0.95442 |           2.84130 | -39776.35380 | -39780.63078      1.53308      7.41247      6.72355
  9 |   -0.13238 |   -0.08955     -0.09299     -0.10016 |    0.93992      0.94615      0.95318 |           2.83925 | -39776.38303 | -39780.63078      1.53373      7.40886      6.72355
 10 |   -0.13520 |   -0.08944     -0.09275     -0.10017 |    0.93800      0.94795      0.95340 |           2.83936 | -39776.43379 | -39780.63078      1.52901      7.40028      6.72355
 11 |   -0.13741 |   -0.08949     -0.09281     -0.10014 |    0.93922      0.94697      0.95271 |           2.83890 | -39776.43888 | -39780.63078      1.52734      7.39229      6.72355
 12 |   -0.13890 |   -0.08932     -0.09268     -0.10003 |    0.93823      0.94574      0.95254 |           2.83652 | -39776.45655 | -39780.63078      1.52658      7.38847      6.72355
 13 |   -0.13990 |   -0.08930     -0.09260     -0.10005 |    0.93865      0.94617      0.95290 |           2.83771 | -39776.46782 | -39780.63078      1.52925      7.38603      6.72355
 14 |   -0.14072 |   -0.08941     -0.09265     -0.09994 |    0.93915      0.94630      0.95267 |           2.83812 | -39776.47366 | -39780.63078      1.52468      7.37891      6.72355
 15 |   -0.14168 |   -0.08935     -0.09254     -0.10010 |    0.93709      0.94597      0.95248 |           2.83553 | -39776.48251 | -39780.63078      1.52675      7.38062      6.72355
