 it |          δμ |                               δocc orb |    δimp occ |       δGimp |         δG0 |          δΣ |      δE_tot 
  1 | 0.00000e+00 | 1.34874e-02   9.60912e-03   6.76377e-03 | 2.98603e-02 | 4.24619e-02 | 2.13462e-01 | 7.81442e-01 | 3.26241e+01
  2 | 3.06318e-02 | 2.89969e-03   1.82363e-03   1.18487e-02 | 1.65720e-02 | 1.21440e-02 | 1.32515e-03 | 1.99700e-01 | 4.04699e-01
  3 | 3.68159e-02 | 3.98575e-03   6.36128e-03   4.19259e-03 | 1.45396e-02 | 8.73510e-03 | 1.08747e-03 | 1.48920e-01 | 3.66509e-01
  4 | 2.63848e-02 | 6.00275e-03   2.40260e-03   4.28668e-03 | 1.26920e-02 | 6.04047e-03 | 7.92871e-04 | 1.46334e-01 | 2.30964e-01
  5 | 1.79133e-02 | 2.64333e-04   2.93801e-03   3.06449e-03 | 5.73817e-03 | 4.14679e-03 | 5.42712e-04 | 1.67662e-01 | 1.80338e-01
  6 | 1.26327e-02 | 4.19876e-03   1.86756e-03   1.06804e-03 | 7.13436e-03 | 2.88765e-03 | 3.86273e-04 | 1.58739e-01 | 7.42381e-02
  7 | 9.18872e-03 | 1.08991e-03   6.34993e-04   2.59539e-04 | 1.46536e-03 | 2.14883e-03 | 2.79826e-04 | 1.15074e-01 | 1.19871e-01
  8 | 5.77181e-03 | 8.74778e-04   1.50004e-03   9.86952e-04 | 3.36177e-03 | 1.32089e-03 | 1.80388e-04 | 1.06034e-01 | 4.37441e-02
  9 | 3.95547e-03 | 6.42326e-04   8.34196e-04   1.36062e-03 | 2.83715e-03 | 9.69803e-04 | 1.22194e-04 | 9.56954e-02 | 2.92372e-02
 10 | 2.81449e-03 | 2.54644e-04   4.65147e-04   8.33653e-04 | 1.55344e-03 | 7.11270e-04 | 8.58217e-05 | 1.24614e-01 | 5.07600e-02
 11 | 2.20907e-03 | 3.92644e-04   1.90498e-03   4.46980e-05 | 2.25293e-03 | 6.87404e-04 | 6.76274e-05 | 1.09958e-01 | 5.08656e-03
 12 | 1.49205e-03 | 5.16988e-04   1.62142e-03   1.70867e-03 | 4.29735e-04 | 4.92494e-04 | 4.75037e-05 | 1.82509e-01 | 1.76667e-02
 13 | 9.97312e-04 | 9.68471e-05   2.11136e-04   1.08830e-04 | 2.23119e-04 | 4.86740e-04 | 3.05664e-05 | 2.89367e-01 | 1.12716e-02
 14 | 8.21018e-04 | 8.27642e-04   1.67245e-04   2.58717e-04 | 4.01680e-04 | 4.52554e-04 | 2.69337e-05 | 2.14395e-01 | 5.83640e-03
 15 | 9.63791e-04 | 1.34701e-03   8.05272e-05   1.01956e-03 | 4.07980e-04 | 3.94152e-04 | 2.98387e-05 | 1.23606e-01 | 8.85087e-03
