 it |         mu |                G(beta/2) per orbital |                 orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |    0.01091 |   -0.09380     -0.10131     -0.11682 |    0.94514      0.95582      0.97423 |           2.87519 | -39807.55751 | -39780.63078      0.00000      0.00000      6.73941
  1 |    0.01091 |   -0.09464     -0.10009     -0.11081 |    0.95827      0.96712      0.97942 |           2.90482 | -39774.93343 | -39780.63078      1.57441      7.76828      6.73941
  2 |   -0.01972 |   -0.09363     -0.09640     -0.10325 |    0.95567      0.96259      0.97032 |           2.88858 | -39775.33813 | -39780.63078      1.59049      7.67173      6.73941
  3 |   -0.05654 |   -0.09248     -0.09512     -0.10181 |    0.95077      0.95844      0.96438 |           2.87359 | -39775.70464 | -39780.63078      1.57130      7.58123      6.73941
  4 |   -0.08292 |   -0.09161     -0.09443     -0.10128 |    0.94658      0.95439      0.96104 |           2.86201 | -39775.93561 | -39780.63078      1.55785      7.52344      6.73941
  5 |   -0.10084 |   -0.09082     -0.09376     -0.10085 |    0.94373      0.95157      0.95846 |           2.85375 | -39776.11594 | -39780.63078      1.54625      7.48015      6.73941
  6 |   -0.11347 |   -0.09032     -0.09352     -0.10062 |    0.94102      0.95095      0.95728 |           2.84925 | -39776.19018 | -39780.63078      1.53841      7.46269      6.73941
  7 |   -0.12266 |   -0.09007     -0.09314     -0.10039 |    0.94070      0.94938      0.95485 |           2.84493 | -39776.31005 | -39780.63078      1.53813      7.43453      6.73941
  8 |   -0.12843 |   -0.08993     -0.09299     -0.10019 |    0.94095      0.94823      0.95457 |           2.84376 | -39776.35380 | -39780.63078      1.53308      7.43148      6.73941
  9 |   -0.13238 |   -0.08967     -0.09284     -0.09997 |    0.93810      0.94758      0.95474 |           2.84041 | -39776.38303 | -39780.63078      1.53373      7.40918      6.73941
 10 |   -0.13520 |   -0.08948     -0.09271     -0.10001 |    0.93926      0.94728      0.95435 |           2.84090 | -39776.43379 | -39780.63078      1.52901      7.40145      6.73941
 11 |   -0.13741 |   -0.08961     -0.09276     -0.10007 |    0.93927      0.94835      0.95383 |           2.84145 | -39776.43888 | -39780.63078      1.52734      7.40154      6.73941
 12 |   -0.13890 |   -0.08943     -0.09272     -0.10007 |    0.93960      0.94671      0.95362 |           2.83993 | -39776.45655 | -39780.63078      1.52658      7.39683      6.73941
 13 |   -0.13990 |   -0.08941     -0.09268     -0.09987 |    0.93963      0.94604      0.95339 |           2.83906 | -39776.46782 | -39780.63078      1.52925      7.39187      6.73941
 14 |   -0.14072 |   -0.08943     -0.09268     -0.09995 |    0.93906      0.94729      0.95415 |           2.84050 | -39776.47366 | -39780.63078      1.52468      7.40121      6.73941
 15 |   -0.14168 |   -0.08933     -0.09270     -0.09999 |    0.93822      0.94505      0.95296 |           2.83623 | -39776.48251 | -39780.63078      1.52675      7.38689      6.73941
