 it |          δμ |                               δocc orb |    δimp occ |       δGimp |         δG0 |          δΣ |      δE_tot 
  1 | 0.00000e+00 | 1.10231e-02   1.02820e-02   7.91684e-03 | 2.92220e-02 | 3.96504e-02 | 2.13361e-01 | 7.73451e-01 | 3.26572e+01
  2 | 3.08956e-02 | 4.08099e-03   3.02869e-03   1.14056e-02 | 1.85153e-02 | 1.14330e-02 | 1.32357e-03 | 9.36773e-02 | 4.48506e-01
  3 | 3.56501e-02 | 2.71448e-03   6.07706e-03   2.85572e-03 | 1.16473e-02 | 7.88626e-03 | 1.05495e-03 | 1.37197e-01 | 3.37992e-01
  4 | 2.55020e-02 | 5.30234e-03   2.18418e-03   5.42116e-03 | 1.29077e-02 | 5.59271e-03 | 7.64624e-04 | 1.46034e-01 | 2.22710e-01
  5 | 1.71626e-02 | 3.10955e-03   2.34469e-03   5.57140e-04 | 6.01139e-03 | 3.77140e-03 | 5.25574e-04 | 7.26145e-02 | 1.61853e-01
  6 | 1.22552e-02 | 3.72305e-05   3.74676e-03   6.54568e-04 | 4.43856e-03 | 2.64108e-03 | 3.70201e-04 | 7.20584e-02 | 1.22564e-01
  7 | 8.19166e-03 | 5.36796e-04   1.55042e-03   2.32481e-03 | 1.31119e-03 | 1.79380e-03 | 2.52271e-04 | 1.51657e-01 | 4.35619e-02
  8 | 5.97649e-03 | 1.36509e-03   2.23384e-03   1.73979e-03 | 5.33872e-03 | 1.29836e-03 | 1.83850e-04 | 1.50047e-01 | 8.09404e-02
  9 | 3.78936e-03 | 1.29795e-03   1.80805e-04   5.94097e-04 | 8.84656e-04 | 9.24017e-04 | 1.16770e-04 | 6.46888e-02 | 1.96370e-02
 10 | 2.64662e-03 | 1.24690e-03   1.26823e-04   5.46829e-04 | 1.92055e-03 | 6.62843e-04 | 8.27048e-05 | 1.10786e-01 | 1.72590e-02
 11 | 1.76225e-03 | 6.94922e-04   5.66448e-05   1.15486e-03 | 5.16585e-04 | 5.97819e-04 | 5.48663e-05 | 1.32443e-01 | 2.87260e-02
 12 | 1.66674e-03 | 1.05720e-03   1.72061e-04   3.45509e-04 | 1.23065e-03 | 4.73892e-04 | 4.85586e-05 | 8.27016e-02 | 3.35337e-02
 13 | 9.50708e-04 | 5.49372e-04   1.83128e-03   7.69999e-04 | 1.61066e-03 | 4.04733e-04 | 3.51567e-05 | 9.26386e-02 | 4.97678e-03
 14 | 6.12428e-04 | 1.35867e-04   2.80309e-04   5.69089e-05 | 4.73085e-04 | 3.25152e-04 | 1.86892e-05 | 7.60123e-02 | 1.24567e-02
