 it |         mu |                G(beta/2) per orbital |                 orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |    0.01267 |   -0.09368     -0.09716     -0.11691 |    0.94813      0.95178      0.97343 |           2.87334 | -39807.61137 | -39780.69198      0.00000      0.00000      6.72843
  1 |    0.01267 |   -0.09364     -0.09651     -0.11139 |    0.95915      0.96206      0.98135 |           2.90256 | -39774.95413 | -39780.69198      1.55365      7.77574      6.72843
  2 |   -0.01822 |   -0.09146     -0.09300     -0.10254 |    0.95507      0.95903      0.96995 |           2.88405 | -39775.40264 | -39780.69198      1.57216      7.66011      6.72843
  3 |   -0.05387 |   -0.09025     -0.09165     -0.10102 |    0.95235      0.95296      0.96709 |           2.87240 | -39775.74063 | -39780.69198      1.55091      7.57154      6.72843
  4 |   -0.07938 |   -0.08942     -0.09118     -0.10068 |    0.94705      0.95077      0.96167 |           2.85949 | -39775.96334 | -39780.69198      1.53991      7.53210      6.72843
  5 |   -0.09654 |   -0.08882     -0.09060     -0.10036 |    0.94394      0.94843      0.96111 |           2.85348 | -39776.12519 | -39780.69198      1.53372      7.48924      6.72843
  6 |   -0.10879 |   -0.08862     -0.09029     -0.10004 |    0.94390      0.94468      0.96046 |           2.84904 | -39776.24776 | -39780.69198      1.52626      7.46953      6.72843
  7 |   -0.11699 |   -0.08825     -0.08993     -0.09982 |    0.94337      0.94623      0.95813 |           2.84773 | -39776.29132 | -39780.69198      1.51938      7.44990      6.72843
  8 |   -0.12296 |   -0.08807     -0.08984     -0.09963 |    0.94200      0.94400      0.95639 |           2.84239 | -39776.37226 | -39780.69198      1.51476      7.43507      6.72843
  9 |   -0.12675 |   -0.08803     -0.08983     -0.09954 |    0.94070      0.94382      0.95699 |           2.84151 | -39776.39190 | -39780.69198      1.51883      7.42273      6.72843
 10 |   -0.12940 |   -0.08800     -0.08955     -0.09956 |    0.93946      0.94369      0.95644 |           2.83959 | -39776.40916 | -39780.69198      1.51919      7.41850      6.72843
 11 |   -0.13116 |   -0.08779     -0.08969     -0.09962 |    0.94015      0.94363      0.95528 |           2.83907 | -39776.43788 | -39780.69198      1.50812      7.41526      6.72843
 12 |   -0.13283 |   -0.08795     -0.08967     -0.09968 |    0.94121      0.94346      0.95563 |           2.84030 | -39776.47142 | -39780.69198      1.51218      7.40439      6.72843
 13 |   -0.13378 |   -0.08779     -0.08950     -0.09939 |    0.94066      0.94163      0.95640 |           2.83869 | -39776.46644 | -39780.69198      1.51129      7.40432      6.72843
 14 |   -0.13439 |   -0.08776     -0.08947     -0.09938 |    0.94080      0.94191      0.95646 |           2.83916 | -39776.47889 | -39780.69198      1.51296      7.39822      6.72843
