 it |         mu |                G(beta/2) per orbital |                 orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |    0.01267 |   -0.09362     -0.09718     -0.11691 |    0.94808      0.95182      0.97361 |           2.87352 | -39807.61137 | -39780.69198      0.00000      0.00000      6.72948
  1 |    0.01267 |   -0.09366     -0.09655     -0.11126 |    0.95821      0.96233      0.98169 |           2.90223 | -39774.95413 | -39780.69198      1.55365      7.77689      6.72948
  2 |   -0.01822 |   -0.09130     -0.09300     -0.10253 |    0.95583      0.95845      0.97110 |           2.88537 | -39775.40264 | -39780.69198      1.57216      7.65521      6.72948
  3 |   -0.05387 |   -0.09020     -0.09177     -0.10133 |    0.95217      0.95329      0.96589 |           2.87134 | -39775.74063 | -39780.69198      1.55091      7.58357      6.72948
  4 |   -0.07938 |   -0.08935     -0.09115     -0.10066 |    0.94666      0.94962      0.96411 |           2.86039 | -39775.96334 | -39780.69198      1.53991      7.52070      6.72948
  5 |   -0.09654 |   -0.08875     -0.09056     -0.10036 |    0.94417      0.94767      0.96082 |           2.85267 | -39776.12519 | -39780.69198      1.53372      7.48600      6.72948
  6 |   -0.10879 |   -0.08863     -0.09028     -0.10000 |    0.94262      0.94567      0.95912 |           2.84741 | -39776.24776 | -39780.69198      1.52626      7.45680      6.72948
  7 |   -0.11699 |   -0.08824     -0.09006     -0.09988 |    0.94210      0.94537      0.95840 |           2.84587 | -39776.29132 | -39780.69198      1.51938      7.44948      6.72948
  8 |   -0.12296 |   -0.08791     -0.08984     -0.09975 |    0.94098      0.94306      0.95811 |           2.84214 | -39776.37226 | -39780.69198      1.51476      7.43657      6.72948
  9 |   -0.12675 |   -0.08772     -0.08979     -0.09963 |    0.94056      0.94320      0.95723 |           2.84099 | -39776.39190 | -39780.69198      1.51883      7.42082      6.72948
 10 |   -0.12940 |   -0.08780     -0.08964     -0.09945 |    0.94020      0.94290      0.95621 |           2.83931 | -39776.40916 | -39780.69198      1.51919      7.42335      6.72948
 11 |   -0.13116 |   -0.08766     -0.08974     -0.09956 |    0.93956      0.94451      0.95739 |           2.84146 | -39776.43788 | -39780.69198      1.50812      7.42088      6.72948
 12 |   -0.13283 |   -0.08775     -0.08953     -0.09957 |    0.93947      0.94209      0.95693 |           2.83850 | -39776.47142 | -39780.69198      1.51218      7.41066      6.72948
 13 |   -0.13378 |   -0.08764     -0.08964     -0.09949 |    0.93887      0.94191      0.95768 |           2.83846 | -39776.46644 | -39780.69198      1.51129      7.40731      6.72948
 14 |   -0.13439 |   -0.08764     -0.08952     -0.09966 |    0.94009      0.94355      0.95518 |           2.83882 | -39776.47889 | -39780.69198      1.51296      7.39970      6.72948
