 it |          δμ |                               δocc orb |    δimp occ |       δGimp |         δG0 |          δΣ |      δE_tot 
  1 | 0.00000e+00 | 1.01273e-02   1.05092e-02   8.07602e-03 | 2.87126e-02 | 3.95969e-02 | 2.13351e-01 | 7.32908e-01 | 3.26572e+01
  2 | 3.08956e-02 | 2.38355e-03   3.88402e-03   1.05894e-02 | 1.68569e-02 | 1.13902e-02 | 1.32527e-03 | 1.29597e-01 | 4.48506e-01
  3 | 3.56501e-02 | 3.66204e-03   5.15924e-03   5.21012e-03 | 1.40314e-02 | 7.95132e-03 | 1.05148e-03 | 1.32937e-01 | 3.37992e-01
  4 | 2.55020e-02 | 5.50517e-03   3.66280e-03   1.78063e-03 | 1.09486e-02 | 5.61821e-03 | 7.67968e-04 | 1.16891e-01 | 2.22710e-01
  5 | 1.71626e-02 | 2.48717e-03   1.95061e-03   3.29023e-03 | 7.72801e-03 | 3.70470e-03 | 5.20428e-04 | 1.22781e-01 | 1.61853e-01
  6 | 1.22552e-02 | 1.55024e-03   2.00198e-03   1.69943e-03 | 5.25166e-03 | 2.65578e-03 | 3.73972e-04 | 1.37897e-01 | 1.22564e-01
  7 | 8.19166e-03 | 5.23444e-04   3.05621e-04   7.16550e-04 | 1.54561e-03 | 1.85629e-03 | 2.52626e-04 | 1.19832e-01 | 4.35619e-02
  8 | 5.97649e-03 | 1.12298e-03   2.30977e-03   2.96007e-04 | 3.72876e-03 | 1.25270e-03 | 1.80953e-04 | 1.44318e-01 | 8.09404e-02
  9 | 3.78936e-03 | 4.16079e-04   1.41242e-04   8.78249e-04 | 1.15309e-03 | 9.33157e-04 | 1.17640e-04 | 1.34731e-01 | 1.96370e-02
 10 | 2.64662e-03 | 3.64251e-04   2.99467e-04   1.01533e-03 | 1.67905e-03 | 6.55937e-04 | 8.16909e-05 | 1.79418e-01 | 1.72590e-02
 11 | 1.76225e-03 | 6.32914e-04   1.60767e-03   1.17439e-03 | 2.14915e-03 | 5.85780e-04 | 5.60689e-05 | 1.82343e-01 | 2.87260e-02
 12 | 1.66674e-03 | 9.25928e-05   2.41415e-03   4.52527e-04 | 2.95927e-03 | 5.42213e-04 | 5.08447e-05 | 2.04199e-01 | 3.35337e-02
 13 | 9.50708e-04 | 5.99223e-04   1.84559e-04   7.42634e-04 | 4.11479e-05 | 3.99776e-04 | 2.88321e-05 | 2.32337e-01 | 4.97678e-03
 14 | 6.12428e-04 | 1.22131e-03   1.64069e-03   2.49636e-03 | 3.65638e-04 | 4.92907e-04 | 2.54673e-05 | 1.66567e-01 | 1.24567e-02
