 it |          δμ |                               δocc orb |    δimp occ |       δGimp |         δG0 |          δΣ |      δE_tot 
  1 | 0.00000e+00 | 1.12262e-02   9.50785e-03   8.46643e-03 | 2.92005e-02 | 3.96257e-02 | 2.13326e-01 | 7.92297e-01 | 3.26572e+01
  2 | 3.08956e-02 | 1.62881e-03   2.89720e-03   1.10794e-02 | 1.56054e-02 | 1.14201e-02 | 1.32366e-03 | 2.41582e-01 | 4.48506e-01
  3 | 3.56501e-02 | 6.62773e-03   4.91558e-03   5.28305e-03 | 1.68264e-02 | 7.94631e-03 | 1.05418e-03 | 1.81825e-01 | 3.37992e-01
  4 | 2.55020e-02 | 2.75113e-03   3.87700e-03   4.50690e-03 | 1.11350e-02 | 5.57561e-03 | 7.66367e-04 | 1.73987e-01 | 2.22710e-01
  5 | 1.71626e-02 | 3.14576e-03   1.11859e-03   1.18144e-03 | 5.44580e-03 | 3.78292e-03 | 5.23462e-04 | 9.88789e-02 | 1.61853e-01
  6 | 1.22552e-02 | 1.27471e-03   1.72733e-03   1.23051e-03 | 4.23255e-03 | 2.67172e-03 | 3.70874e-04 | 9.14131e-02 | 1.22564e-01
  7 | 8.19166e-03 | 3.03826e-03   1.36943e-03   5.50843e-04 | 4.95853e-03 | 1.75396e-03 | 2.53070e-04 | 1.13174e-01 | 4.35619e-02
  8 | 5.97649e-03 | 1.20570e-04   2.10954e-03   3.04797e-04 | 2.29376e-03 | 1.31107e-03 | 1.80825e-04 | 1.35687e-01 | 8.09404e-02
  9 | 3.78936e-03 | 2.52062e-04   1.33514e-03   1.06148e-03 | 2.15981e-05 | 9.24951e-04 | 1.17947e-04 | 8.44564e-02 | 1.96370e-02
 10 | 2.64662e-03 | 4.49719e-04   1.92376e-03   3.00971e-04 | 2.67445e-03 | 6.57997e-04 | 8.19322e-05 | 9.89572e-02 | 1.72590e-02
 11 | 1.76225e-03 | 7.14741e-05   2.09366e-03   1.74533e-03 | 4.19801e-04 | 4.87004e-04 | 5.36738e-05 | 1.89330e-01 | 2.87260e-02
 12 | 1.66674e-03 | 5.12963e-04   3.13825e-03   1.57872e-03 | 2.07249e-03 | 5.90082e-04 | 5.29741e-05 | 1.94725e-01 | 3.35337e-02
 13 | 9.50708e-04 | 9.63485e-04   1.86525e-03   3.65409e-04 | 5.36355e-04 | 4.26573e-04 | 3.06414e-05 | 1.13424e-01 | 4.97678e-03
 14 | 6.12428e-04 | 1.10786e-03   1.53962e-03   5.89945e-04 | 1.58181e-04 | 4.45928e-04 | 1.93116e-05 | 9.32030e-02 | 1.24567e-02
