 it |         mu |                G(beta/2) per orbital |                 orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |    0.01267 |   -0.09361     -0.09717     -0.11696 |    0.94817      0.95208      0.97327 |           2.87353 | -39807.61137 | -39780.69198      0.00000      0.00000      6.72953
  1 |    0.01267 |   -0.09369     -0.09649     -0.11138 |    0.95844      0.96239      0.98153 |           2.90236 | -39774.95413 | -39780.69198      1.55365      7.77284      6.72953
  2 |   -0.01822 |   -0.09128     -0.09307     -0.10236 |    0.95456      0.95759      0.96951 |           2.88166 | -39775.40264 | -39780.69198      1.57216      7.66072      6.72953
  3 |   -0.05387 |   -0.09014     -0.09178     -0.10117 |    0.95112      0.95339      0.96593 |           2.87044 | -39775.74063 | -39780.69198      1.55091      7.57816      6.72953
  4 |   -0.07938 |   -0.08943     -0.09133     -0.10075 |    0.94637      0.95065      0.96337 |           2.86040 | -39775.96334 | -39780.69198      1.53991      7.53434      6.72953
  5 |   -0.09654 |   -0.08893     -0.09076     -0.10038 |    0.94425      0.94891      0.96167 |           2.85483 | -39776.12519 | -39780.69198      1.53372      7.49149      6.72953
  6 |   -0.10879 |   -0.08856     -0.09014     -0.09991 |    0.94293      0.94584      0.95899 |           2.84776 | -39776.24776 | -39780.69198      1.52626      7.45693      6.72953
  7 |   -0.11699 |   -0.08826     -0.09019     -0.09983 |    0.94155      0.94513      0.95841 |           2.84509 | -39776.29132 | -39780.69198      1.51938      7.45855      6.72953
  8 |   -0.12296 |   -0.08801     -0.08998     -0.09967 |    0.94117      0.94508      0.95785 |           2.84410 | -39776.37226 | -39780.69198      1.51476      7.42234      6.72953
  9 |   -0.12675 |   -0.08799     -0.08974     -0.09978 |    0.93897      0.94426      0.95688 |           2.84011 | -39776.39190 | -39780.69198      1.51883      7.43012      6.72953
 10 |   -0.12940 |   -0.08798     -0.08964     -0.09972 |    0.94074      0.94422      0.95659 |           2.84154 | -39776.40916 | -39780.69198      1.51919      7.41988      6.72953
 11 |   -0.13116 |   -0.08781     -0.08976     -0.09959 |    0.94031      0.94491      0.95562 |           2.84084 | -39776.43788 | -39780.69198      1.50812      7.41182      6.72953
 12 |   -0.13283 |   -0.08799     -0.08969     -0.09976 |    0.94028      0.94311      0.95721 |           2.84059 | -39776.47142 | -39780.69198      1.51218      7.40427      6.72953
 13 |   -0.13378 |   -0.08791     -0.08977     -0.09974 |    0.94039      0.94331      0.95639 |           2.84009 | -39776.46644 | -39780.69198      1.51129      7.40932      6.72953
 14 |   -0.13439 |   -0.08774     -0.08964     -0.09948 |    0.93944      0.94274      0.95517 |           2.83736 | -39776.47889 | -39780.69198      1.51296      7.40305      6.72953
