 it |          δμ |                               δocc orb |    δimp occ |       δGimp |         δG0 |          δΣ |      δE_tot 
  1 | 0.00000e+00 | 1.02643e-02   1.03106e-02   8.26035e-03 | 2.88352e-02 | 3.96490e-02 | 2.13351e-01 | 7.58025e-01 | 3.26572e+01
  2 | 3.08956e-02 | 3.88164e-03   4.80387e-03   1.20181e-02 | 2.07036e-02 | 1.13840e-02 | 1.32583e-03 | 8.00483e-02 | 4.48506e-01
  3 | 3.56501e-02 | 3.43365e-03   4.20008e-03   3.57878e-03 | 1.12125e-02 | 7.99071e-03 | 1.05356e-03 | 1.04336e-01 | 3.37992e-01
  4 | 2.55020e-02 | 4.75362e-03   2.73519e-03   2.55987e-03 | 1.00487e-02 | 5.52562e-03 | 7.64813e-04 | 1.04327e-01 | 2.22710e-01
  5 | 1.71626e-02 | 2.11496e-03   1.74562e-03   1.70202e-03 | 5.56261e-03 | 3.78140e-03 | 5.24239e-04 | 8.87166e-02 | 1.61853e-01
  6 | 1.22552e-02 | 1.32791e-03   3.06753e-03   2.68078e-03 | 7.07622e-03 | 2.67042e-03 | 3.73330e-04 | 1.31868e-01 | 1.22564e-01
  7 | 8.19166e-03 | 1.37644e-03   7.12524e-04   5.82024e-04 | 2.67099e-03 | 1.82089e-03 | 2.51417e-04 | 7.90477e-02 | 4.35619e-02
  8 | 5.97649e-03 | 3.78755e-04   5.16078e-05   5.57335e-04 | 9.87698e-04 | 1.30543e-03 | 1.81278e-04 | 1.28829e-01 | 8.09404e-02
  9 | 3.78936e-03 | 2.20486e-03   8.15021e-04   9.71239e-04 | 3.99112e-03 | 9.05326e-04 | 1.15843e-04 | 1.97106e-01 | 1.96370e-02
 10 | 2.64662e-03 | 1.77136e-03   4.36029e-05   2.92985e-04 | 1.43477e-03 | 7.04506e-04 | 8.41155e-05 | 1.40512e-01 | 1.72590e-02
 11 | 1.76225e-03 | 4.24774e-04   6.92897e-04   9.65419e-04 | 6.97296e-04 | 5.73680e-04 | 5.58484e-05 | 1.17690e-01 | 2.87260e-02
 12 | 1.66674e-03 | 3.71595e-05   1.79661e-03   1.58429e-03 | 2.49476e-04 | 4.68780e-04 | 4.66884e-05 | 1.11026e-01 | 3.35337e-02
 13 | 9.50708e-04 | 1.15738e-04   1.93864e-04   8.12973e-04 | 5.03371e-04 | 5.66618e-04 | 3.18464e-05 | 8.26559e-02 | 4.97678e-03
 14 | 6.12428e-04 | 9.50523e-04   5.62619e-04   1.22087e-03 | 2.73401e-03 | 5.46264e-04 | 2.27499e-05 | 1.38762e-01 | 1.24567e-02
