 it |         mu |                G(beta/2) per orbital |                 orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |    0.01267 |   -0.09361     -0.09714     -0.11685 |    0.94834      0.95188      0.97371 |           2.87393 | -39807.61137 | -39780.69198      0.00000      0.00000      6.73195
  1 |    0.01267 |   -0.09371     -0.09636     -0.11126 |    0.95957      0.96139      0.98217 |           2.90313 | -39774.95413 | -39780.69198      1.55365      7.77812      6.73195
  2 |   -0.01822 |   -0.09133     -0.09285     -0.10230 |    0.95794      0.95849      0.97109 |           2.88753 | -39775.40264 | -39780.69198      1.57216      7.66053      6.73195
  3 |   -0.05387 |   -0.09003     -0.09181     -0.10114 |    0.95131      0.95358      0.96581 |           2.87070 | -39775.74063 | -39780.69198      1.55091      7.58657      6.73195
  4 |   -0.07938 |   -0.08939     -0.09109     -0.10066 |    0.94856      0.94970      0.96130 |           2.85957 | -39775.96334 | -39780.69198      1.53991      7.52098      6.73195
  5 |   -0.09654 |   -0.08886     -0.09063     -0.10027 |    0.94541      0.94858      0.96012 |           2.85412 | -39776.12519 | -39780.69198      1.53372      7.48573      6.73195
  6 |   -0.10879 |   -0.08854     -0.09025     -0.10008 |    0.94414      0.94686      0.95889 |           2.84989 | -39776.24776 | -39780.69198      1.52626      7.45409      6.73195
  7 |   -0.11699 |   -0.08812     -0.09002     -0.09980 |    0.94110      0.94549      0.95834 |           2.84493 | -39776.29132 | -39780.69198      1.51938      7.44273      6.73195
  8 |   -0.12296 |   -0.08814     -0.08996     -0.09982 |    0.94122      0.94338      0.95804 |           2.84264 | -39776.37226 | -39780.69198      1.51476      7.43037      6.73195
  9 |   -0.12675 |   -0.08790     -0.08981     -0.09974 |    0.94097      0.94471      0.95698 |           2.84266 | -39776.39190 | -39780.69198      1.51883      7.42696      6.73195
 10 |   -0.12940 |   -0.08781     -0.08971     -0.09960 |    0.94052      0.94279      0.95667 |           2.83998 | -39776.40916 | -39780.69198      1.51919      7.42128      6.73195
 11 |   -0.13116 |   -0.08771     -0.08969     -0.09953 |    0.94059      0.94488      0.95493 |           2.84040 | -39776.43788 | -39780.69198      1.50812      7.41741      6.73195
 12 |   -0.13283 |   -0.08772     -0.08965     -0.09941 |    0.94008      0.94174      0.95651 |           2.83833 | -39776.47142 | -39780.69198      1.51218      7.40845      6.73195
 13 |   -0.13378 |   -0.08762     -0.08963     -0.09947 |    0.93912      0.94361      0.95614 |           2.83887 | -39776.46644 | -39780.69198      1.51129      7.41269      6.73195
 14 |   -0.13439 |   -0.08766     -0.08950     -0.09944 |    0.94022      0.94207      0.95673 |           2.83903 | -39776.47889 | -39780.69198      1.51296      7.41855      6.73195
