 it |         mu |                G(beta/2) per orbital |                 orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |    0.01209 |   -0.09353     -0.09899     -0.11713 |    0.94650      0.95323      0.97367 |           2.87339 | -39807.59445 | -39780.67244      0.00000      0.00000      6.72875
  1 |    0.01209 |   -0.09387     -0.09819     -0.11109 |    0.95878      0.96403      0.98058 |           2.90338 | -39774.95302 | -39780.67244      1.56267      7.76271      6.72875
  2 |   -0.01892 |   -0.09212     -0.09452     -0.10268 |    0.95534      0.95975      0.96993 |           2.88503 | -39775.40145 | -39780.67244      1.57626      7.65624      6.72875
  3 |   -0.05536 |   -0.09101     -0.09326     -0.10148 |    0.94970      0.95506      0.96528 |           2.87003 | -39775.72126 | -39780.67244      1.56203      7.57722      6.72875
  4 |   -0.08077 |   -0.09010     -0.09253     -0.10102 |    0.94711      0.95233      0.96172 |           2.86115 | -39775.98256 | -39780.67244      1.54730      7.51178      6.72875
  5 |   -0.09839 |   -0.08949     -0.09217     -0.10052 |    0.94445      0.94866      0.95860 |           2.85171 | -39776.13446 | -39780.67244      1.53405      7.48117      6.72875
  6 |   -0.11094 |   -0.08900     -0.09163     -0.10042 |    0.94243      0.94787      0.95843 |           2.84872 | -39776.23632 | -39780.67244      1.53213      7.46190      6.72875
  7 |   -0.11932 |   -0.08883     -0.09142     -0.10014 |    0.94080      0.94713      0.95664 |           2.84457 | -39776.31193 | -39780.67244      1.52580      7.43911      6.72875
  8 |   -0.12524 |   -0.08870     -0.09135     -0.10020 |    0.94126      0.94514      0.95751 |           2.84391 | -39776.36668 | -39780.67244      1.52316      7.41472      6.72875
  9 |   -0.12939 |   -0.08853     -0.09111     -0.10000 |    0.94062      0.94507      0.95583 |           2.84153 | -39776.40516 | -39780.67244      1.51763      7.41225      6.72875
 10 |   -0.13227 |   -0.08846     -0.09098     -0.10006 |    0.93989      0.94577      0.95512 |           2.84079 | -39776.45692 | -39780.67244      1.51855      7.41348      6.72875
 11 |   -0.13430 |   -0.08833     -0.09099     -0.09989 |    0.93909      0.94477      0.95612 |           2.83997 | -39776.44872 | -39780.67244      1.51492      7.40445      6.72875
 12 |   -0.13598 |   -0.08829     -0.09101     -0.09989 |    0.93958      0.94500      0.95601 |           2.84058 | -39776.46329 | -39780.67244      1.51635      7.40253      6.72875
 13 |   -0.13684 |   -0.08821     -0.09096     -0.09987 |    0.93840      0.94402      0.95537 |           2.83779 | -39776.47407 | -39780.67244      1.52324      7.40195      6.72875
 14 |   -0.13670 |   -0.08813     -0.09080     -0.09987 |    0.93822      0.94447      0.95572 |           2.83840 | -39776.46016 | -39780.67244      1.51749      7.40384      6.72875
