 it |         mu |                G(beta/2) per orbital |                 orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |    0.01209 |   -0.09336     -0.09911     -0.11721 |    0.94662      0.95270      0.97321 |           2.87254 | -39807.59445 | -39780.67244      0.00000      0.00000      6.72366
  1 |    0.01209 |   -0.09365     -0.09817     -0.11126 |    0.95743      0.96288      0.98201 |           2.90231 | -39774.95302 | -39780.67244      1.56267      7.76931      6.72366
  2 |   -0.01892 |   -0.09195     -0.09460     -0.10294 |    0.95512      0.96155      0.97039 |           2.88707 | -39775.40145 | -39780.67244      1.57626      7.64847      6.72366
  3 |   -0.05536 |   -0.09087     -0.09340     -0.10137 |    0.95005      0.95420      0.96444 |           2.86869 | -39775.72126 | -39780.67244      1.56203      7.56944      6.72366
  4 |   -0.08077 |   -0.08995     -0.09250     -0.10097 |    0.94680      0.95151      0.96106 |           2.85936 | -39775.98256 | -39780.67244      1.54730      7.50516      6.72366
  5 |   -0.09839 |   -0.08931     -0.09205     -0.10053 |    0.94554      0.95064      0.95840 |           2.85457 | -39776.13446 | -39780.67244      1.53405      7.47601      6.72366
  6 |   -0.11094 |   -0.08904     -0.09184     -0.10060 |    0.94189      0.94597      0.95718 |           2.84504 | -39776.23632 | -39780.67244      1.53213      7.44069      6.72366
  7 |   -0.11932 |   -0.08861     -0.09133     -0.10012 |    0.94108      0.94447      0.95806 |           2.84361 | -39776.31193 | -39780.67244      1.52580      7.43059      6.72366
  8 |   -0.12524 |   -0.08859     -0.09138     -0.10011 |    0.93954      0.94476      0.95642 |           2.84072 | -39776.36668 | -39780.67244      1.52316      7.41325      6.72366
  9 |   -0.12939 |   -0.08825     -0.09117     -0.10001 |    0.93931      0.94353      0.95658 |           2.83942 | -39776.40516 | -39780.67244      1.51763      7.41588      6.72366
 10 |   -0.13227 |   -0.08838     -0.09122     -0.10005 |    0.93961      0.94304      0.95574 |           2.83840 | -39776.45692 | -39780.67244      1.51855      7.39613      6.72366
 11 |   -0.13430 |   -0.08825     -0.09112     -0.09992 |    0.93976      0.94427      0.95473 |           2.83877 | -39776.44872 | -39780.67244      1.51492      7.40128      6.72366
 12 |   -0.13598 |   -0.08819     -0.09101     -0.09989 |    0.93848      0.94271      0.95598 |           2.83717 | -39776.46329 | -39780.67244      1.51635      7.39145      6.72366
 13 |   -0.13684 |   -0.08819     -0.09097     -0.09974 |    0.93899      0.94136      0.95357 |           2.83391 | -39776.47407 | -39780.67244      1.52324      7.38876      6.72366
 14 |   -0.13670 |   -0.08813     -0.09093     -0.09986 |    0.93942      0.94464      0.95533 |           2.83939 | -39776.46016 | -39780.67244      1.51749      7.39195      6.72366
