 it |          δμ |                               δocc orb |    δimp occ |       δGimp |         δG0 |          δΣ |      δE_tot 
  1 | 0.00000e+00 | 1.08074e-02   1.01729e-02   8.79534e-03 | 2.97756e-02 | 4.09584e-02 | 2.13442e-01 | 7.58937e-01 | 3.26414e+01
  2 | 3.10133e-02 | 2.30237e-03   1.32802e-03   1.16156e-02 | 1.52460e-02 | 1.17854e-02 | 1.33118e-03 | 1.06224e-01 | 4.48428e-01
  3 | 3.64341e-02 | 5.06957e-03   7.34716e-03   5.95672e-03 | 1.83734e-02 | 8.24477e-03 | 1.07713e-03 | 1.20800e-01 | 3.19809e-01
  4 | 2.54103e-02 | 3.25838e-03   2.69651e-03   3.37909e-03 | 9.33399e-03 | 5.69842e-03 | 7.65020e-04 | 9.96842e-02 | 2.61301e-01
  5 | 1.76196e-02 | 1.26038e-03   8.69077e-04   2.65511e-03 | 4.78456e-03 | 3.93339e-03 | 5.37039e-04 | 1.29873e-01 | 1.51901e-01
  6 | 1.25481e-02 | 3.64589e-03   4.66829e-03   1.21970e-03 | 9.53388e-03 | 2.79645e-03 | 3.80246e-04 | 2.07266e-01 | 1.01863e-01
  7 | 8.38082e-03 | 8.05248e-04   1.49592e-03   8.73280e-04 | 1.42788e-03 | 1.90188e-03 | 2.58986e-04 | 1.53180e-01 | 7.56080e-02
  8 | 5.92043e-03 | 1.54358e-03   2.87383e-04   1.63499e-03 | 2.89118e-03 | 1.36577e-03 | 1.81211e-04 | 1.13625e-01 | 5.47477e-02
  9 | 4.15116e-03 | 2.35687e-04   1.22787e-03   1.60310e-04 | 1.30325e-03 | 9.68364e-04 | 1.26483e-04 | 1.05893e-01 | 3.84824e-02
 10 | 2.87907e-03 | 3.07773e-04   4.89364e-04   8.37773e-04 | 1.01936e-03 | 7.45851e-04 | 8.82866e-05 | 1.14096e-01 | 5.17592e-02
 11 | 2.03030e-03 | 1.50860e-04   1.22859e-03   1.01166e-03 | 3.67789e-04 | 6.11375e-04 | 6.33980e-05 | 1.21950e-01 | 8.19603e-03
 12 | 1.68433e-03 | 1.28701e-03   1.55687e-03   1.24829e-03 | 1.59558e-03 | 4.85643e-04 | 5.14843e-05 | 1.03944e-01 | 1.45638e-02
 13 | 8.62912e-04 | 5.08852e-04   1.35644e-03   2.41215e-03 | 3.25974e-03 | 3.63022e-04 | 3.19034e-05 | 1.40188e-01 | 1.07812e-02
 14 | 1.47719e-04 | 4.37498e-04   3.28079e-03   1.76117e-03 | 5.47946e-03 | 4.20840e-04 | 9.20869e-06 | 1.27908e-01 | 1.39103e-02
