 it |         mu |                G(beta/2) per orbital |                 orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |    0.01209 |   -0.09350     -0.09905     -0.11707 |    0.94668      0.95321      0.97384 |           2.87373 | -39807.59445 | -39780.67244      0.00000      0.00000      6.73075
  1 |    0.01209 |   -0.09375     -0.09817     -0.11112 |    0.95889      0.96351      0.98233 |           2.90473 | -39774.95302 | -39780.67244      1.56267      7.76953      6.73075
  2 |   -0.01892 |   -0.09209     -0.09446     -0.10280 |    0.95515      0.95937      0.96997 |           2.88448 | -39775.40145 | -39780.67244      1.57626      7.64861      6.73075
  3 |   -0.05536 |   -0.09113     -0.09331     -0.10136 |    0.94979      0.95558      0.96546 |           2.87083 | -39775.72126 | -39780.67244      1.56203      7.58704      6.73075
  4 |   -0.08077 |   -0.09004     -0.09239     -0.10098 |    0.94655      0.95133      0.96278 |           2.86066 | -39775.98256 | -39780.67244      1.54730      7.51793      6.73075
  5 |   -0.09839 |   -0.08942     -0.09203     -0.10052 |    0.94444      0.94992      0.95984 |           2.85419 | -39776.13446 | -39780.67244      1.53405      7.47436      6.73075
  6 |   -0.11094 |   -0.08907     -0.09173     -0.10040 |    0.94340      0.94807      0.95808 |           2.84954 | -39776.23632 | -39780.67244      1.53213      7.45671      6.73075
  7 |   -0.11932 |   -0.08875     -0.09145     -0.10019 |    0.94277      0.94638      0.95678 |           2.84593 | -39776.31193 | -39780.67244      1.52580      7.43406      6.73075
  8 |   -0.12524 |   -0.08878     -0.09122     -0.10026 |    0.94108      0.94478      0.95610 |           2.84196 | -39776.36668 | -39780.67244      1.52316      7.43376      6.73075
  9 |   -0.12939 |   -0.08841     -0.09109     -0.09990 |    0.94060      0.94753      0.95459 |           2.84272 | -39776.40516 | -39780.67244      1.51763      7.41931      6.73075
 10 |   -0.13227 |   -0.08824     -0.09097     -0.09987 |    0.93838      0.94648      0.95595 |           2.84081 | -39776.45692 | -39780.67244      1.51855      7.40308      6.73075
 11 |   -0.13430 |   -0.08828     -0.09101     -0.09968 |    0.93975      0.94551      0.95718 |           2.84244 | -39776.44872 | -39780.67244      1.51492      7.40398      6.73075
 12 |   -0.13598 |   -0.08832     -0.09097     -0.09989 |    0.93879      0.94425      0.95533 |           2.83838 | -39776.46329 | -39780.67244      1.51635      7.40114      6.73075
 13 |   -0.13684 |   -0.08823     -0.09099     -0.09968 |    0.93916      0.94420      0.95516 |           2.83853 | -39776.47407 | -39780.67244      1.52324      7.40163      6.73075
 14 |   -0.13670 |   -0.08819     -0.09084     -0.09967 |    0.93741      0.94459      0.95523 |           2.83723 | -39776.46016 | -39780.67244      1.51749      7.40376      6.73075
