 it |         mu |                G(beta/2) per orbital |                 orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |    0.01209 |   -0.09324     -0.09904     -0.11725 |    0.94694      0.95399      0.97417 |           2.87510 | -39807.59445 | -39780.67244      0.00000      0.00000      6.73885
  1 |    0.01209 |   -0.09365     -0.09818     -0.11145 |    0.95947      0.96396      0.98075 |           2.90417 | -39774.95302 | -39780.67244      1.56267      7.77721      6.73885
  2 |   -0.01892 |   -0.09186     -0.09448     -0.10286 |    0.95560      0.96148      0.97070 |           2.88778 | -39775.40145 | -39780.67244      1.57626      7.66343      6.73885
  3 |   -0.05536 |   -0.09079     -0.09327     -0.10155 |    0.95054      0.95666      0.96608 |           2.87329 | -39775.72126 | -39780.67244      1.56203      7.57746      6.73885
  4 |   -0.08077 |   -0.08982     -0.09247     -0.10102 |    0.94596      0.95122      0.96259 |           2.85977 | -39775.98256 | -39780.67244      1.54730      7.52971      6.73885
  5 |   -0.09839 |   -0.08937     -0.09207     -0.10081 |    0.94510      0.95009      0.96090 |           2.85610 | -39776.13446 | -39780.67244      1.53405      7.49440      6.73885
  6 |   -0.11094 |   -0.08892     -0.09173     -0.10053 |    0.94194      0.94811      0.95959 |           2.84964 | -39776.23632 | -39780.67244      1.53213      7.46670      6.73885
  7 |   -0.11932 |   -0.08867     -0.09132     -0.10019 |    0.94159      0.94717      0.95851 |           2.84727 | -39776.31193 | -39780.67244      1.52580      7.45296      6.73885
  8 |   -0.12524 |   -0.08847     -0.09123     -0.10016 |    0.94071      0.94729      0.95742 |           2.84542 | -39776.36668 | -39780.67244      1.52316      7.44289      6.73885
  9 |   -0.12939 |   -0.08836     -0.09120     -0.10018 |    0.94024      0.94648      0.95598 |           2.84271 | -39776.40516 | -39780.67244      1.51763      7.42422      6.73885
 10 |   -0.13227 |   -0.08827     -0.09113     -0.09989 |    0.94002      0.94548      0.95574 |           2.84125 | -39776.45692 | -39780.67244      1.51855      7.40630      6.73885
 11 |   -0.13430 |   -0.08817     -0.09106     -0.09986 |    0.93904      0.94532      0.95625 |           2.84061 | -39776.44872 | -39780.67244      1.51492      7.42110      6.73885
 12 |   -0.13598 |   -0.08796     -0.09102     -0.10013 |    0.93864      0.94474      0.95561 |           2.83898 | -39776.46329 | -39780.67244      1.51635      7.41969      6.73885
 13 |   -0.13684 |   -0.08811     -0.09093     -0.10002 |    0.93915      0.94411      0.95434 |           2.83759 | -39776.47407 | -39780.67244      1.52324      7.40481      6.73885
 14 |   -0.13670 |   -0.08793     -0.09084     -0.09992 |    0.93937      0.94462      0.95582 |           2.83981 | -39776.46016 | -39780.67244      1.51749      7.41726      6.73885
